dif,R,RMSE,KGE,name,,,,
-36.5,0.579142728,39.3788148,-8.985938365,Budburst_filtercubic_SoS_threshold_NDPI4,60,120,103,283
23.5,0.259192929,37.4534785,-9.018303716,Budburst_SoS_filterdoublelogisticthreshold_DVI2,170,105,104,379
-38.5,0.634723399,38.69656685,-9.218033048,Budburst_cubic_SoS_threshold_EVI5,26,113,105,244
14.5,0.274997238,35.72838347,-9.25829124,Budburst_SoS_filterthreshold_NDGI4,155,95,106,356
-13.5,0.629741826,32.79534083,-9.437051548,Budburst_SoS_filterdoublelogisticthreshold_NDPI1,29,77,107,213
21.5,0.336107691,38.32301908,-9.448003454,Budburst_mintomaxcubic_SoS_threshold_NDVI13,139,111,108,358
-38.5,0.626708936,39.33171421,-9.493292981,Budburst_mintomaxcubic_SoS_threshold_EVI5,30,118,109,257
57.5,0.202356879,40.73792015,-9.715952628,Budburst_SoS_filterthreshold_NDPI1,200,129,110,439
23.5,0.227039134,40.44197012,-9.733829827,Budburst_SoS_filterthreshold_DVI1,188,125,111,424
16.5,0.529126903,36.64655773,-9.738182086,Budburst_cubic_SoS_threshold_EVI13,81,100,112,293
-38.5,0.579608234,41.03483664,-9.763135929,Budburst_SoS_filterdoublelogisticthreshold_EVI5,59,132,113,304
21.5,0.277150107,38.09755437,-9.768394106,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI2,151,110,114,375
19.5,0.275140858,36.81316626,-9.786182185,Budburst_SoS_filterthreshold_DVI2,154,101,115,370
-27.5,0.570655006,39.40380888,-9.896674092,Budburst_mintomaxcubic_SoS_threshold_NDVI5,68,121,116,305
13.5,0.384442622,38.62609684,-9.967340269,Budburst_SoS_filterthreshold_NDGI5,123,112,117,352
15.5,0.326729811,36.35581272,-10.09726263,Budburst_mintomaxcubic_SoS_threshold_NDGI4,141,99,118,358
20.5,0.217756377,39.37438425,-10.12326074,Budburst_SoS_filterthreshold_DVI13,191,119,119,429
9.5,0.409963638,37.23362432,-10.17376442,Budburst_mintomaxcubic_SoS_threshold_NDGI5,117,104,120,341
5.5,0.44495466,41.48608371,-10.18551498,Budburst_filtercubic_SoS_threshold_NDGI5,108,134,121,363
