dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-8.1,-0.60844971,27.65603678,-0.116861601,Budburstcubic_SoS_threshold_NDGI5,-6.23362237,248,140,75,463
-14.1,-0.344933798,27.71956954,-0.631189143,Budburstcubic_SoS_threshold_NDVI5,-20.30769644,203,142,119,464
2.9,-0.496773566,27.03992735,-0.43475445,Budburstfilter_cubic_SoS_threshold_PPI13,17.91452578,226,135,104,465
-5.1,0.118202546,26.06898819,-1.865491671,BudburstfilterSoS_threshold_NDPI13,1.877488741,146,130,190,466
-10.1,-0.491789569,27.24567986,-0.489414885,Budburstfilterdoublelogistic_SoS_threshold_NDVI4,-18.52991867,225,138,106,469
-7.1,-0.580198637,27.90168308,-0.233118846,Budburstdoublelogistic_SoS_threshold_NDGI3,5.877488741,244,143,84,471
-33.1,0.459403242,33.98208975,-1.616203342,BudburstfilterSoS_threshold_EVI5,-29.60399274,103,195,173,471
-33.1,0.4606912,34.26031776,-1.645396944,BudburstfilterSoS_threshold_NDGI5,-29.90028904,102,197,177,476
11.9,-0.646669315,28.66867625,-0.19858839,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI2,10.58119245,252,147,78,477
90.9,0.343974766,28.05847424,-3.000923372,BudburstmintomaxSoS_threshold_NDVI1,10.61822948,124,145,210,479
-1.1,-0.619590003,28.63432401,-0.26059609,Budburstcubic_SoS_threshold_NDGI4,8.951562816,249,146,86,481
-6.1,-0.605060387,28.89549769,-0.266818611,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI5,-12.97436311,246,150,87,483
-16.1,-0.073957208,31.55698183,-1.183350246,Budburstcubic_SoS_threshold_EVI5,-27.08547422,164,167,153,484
-11.1,-0.568790002,29.1884768,-0.353427048,Budburstfilterdoublelogistic_SoS_threshold_NDGI4,-15.75214089,239,153,95,487
13.9,-0.001470099,28.74872146,-1.735302722,Budburstmintomaxcubic_SoS_threshold_NDVI2,10.91452578,153,149,185,487
-2.1,0.237961216,29.02923045,-2.666769085,Budburstmintomaxcubic_SoS_threshold_NDPI3,-12.12251126,131,152,206,489
-13.1,-0.193035758,30.47906892,-1.056997464,Budburstfilterdoublelogistic_SoS_threshold_NDPI4,-25.38177052,183,162,149,494
13.9,-0.488038297,29.92219814,-0.573627176,Budburstcubic_SoS_threshold_NDVI2,19.65526652,223,159,115,497
-4.1,0.747723195,39.30715278,-10.3327108,BudburstSoS_threshold_NDGI2,17.69230356,18,222,257,497
13.9,-0.434268954,28.68360456,-0.823784726,Budburstfilter_cubic_SoS_threshold_NDGI1,22.21082207,216,148,137,501
6.9,0.149374797,29.01728863,-3.151934698,Budburstmintomaxcubic_SoS_threshold_NDPI2,-0.641029777,140,151,213,504
-31.1,-0.143726562,32.21377324,-1.279218771,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI4,-27.97436311,173,178,155,506
-11.1,-0.498698833,29.47158711,-0.729170528,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI5,-21.60399274,228,156,127,511
-4.1,0.140260386,30.13272708,-2.771144235,BudburstfilterSoS_threshold_NDPI1,11.4330443,142,161,208,511
-5.1,-0.516515176,29.29949626,-0.741275814,Budburstcubic_SoS_threshold_PPI4,5.692303556,233,154,129,516
-14.1,0.221029479,35.86789409,-1.664352009,Budburstmintomaxcubic_SoS_threshold_NDVI5,-29.863252,133,204,179,516
7.9,-0.498579312,29.45163395,-0.843303963,Budburstfilter_cubic_SoS_threshold_PPI1,22.61822948,227,155,139,521
-14.1,-0.197375821,32.82003163,-1.259346162,Budburstfilterdoublelogistic_SoS_threshold_EVI5,-28.04843718,184,185,154,523
-5.1,0.3928589,33.62390504,-3.569035506,BudburstmintomaxSoS_threshold_PPI4,-21.12251126,113,192,222,527
-4.1,0.370573664,32.53376278,-4.162224324,BudburstmintomaxSoS_threshold_PPI3,-16.1595483,120,182,229,531
-16.1,0.320655004,38.15870329,-1.800374698,Budburstmintomaxcubic_SoS_threshold_EVI5,-34.1595483,126,218,188,532
-18.1,-0.499303435,32.01356136,-0.798187547,Budburstfilter_cubic_SoS_threshold_NDGI5,-22.45584459,229,170,136,535
-15.1,-0.520866179,30.01447555,-0.852109961,Budburstfilter_cubic_SoS_threshold_PPI4,-7.678066814,235,160,140,535
-4.1,0.739356158,51.91781062,-12.25591511,BudburstSoS_threshold_NDGI13,35.28489615,20,255,260,535
16.9,-0.656727353,31.53249408,-0.582547775,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI13,16.47008133,253,166,117,536
-17.1,-0.218022165,33.84084442,-1.318204152,Budburstfilter_cubic_SoS_threshold_EVI5,-28.93732607,185,194,158,537
8.9,-0.242548609,33.50053473,-1.364112431,Budburstdoublelogistic_SoS_threshold_NDVI1,20.76637763,188,190,159,537
90.9,0.749819333,58.16173559,-13.77938123,BudburstSoS_threshold_NDVI1,42.02563689,16,261,262,539
71.9,0.804576014,58.74156874,-16.27018045,BudburstSoS_threshold_PPI2,39.76637763,10,262,269,541
-17.1,-0.424137005,32.24943541,-1.019131152,Budburstfilter_cubic_SoS_threshold_NDVI5,-25.38177052,215,179,148,542
-17.1,-0.240789864,34.68824457,-1.293314697,Budburstcubic_SoS_threshold_NDPI5,-28.93732607,187,198,157,542
71.9,0.778250342,65.93531963,-14.46369572,BudburstSoS_threshold_NDGI1,51.98859985,15,266,263,544
99.9,0.778920934,67.79301065,-14.67538959,BudburstSoS_threshold_PPI1,54.136748,14,267,265,546
-1.1,-0.111899384,31.70365244,-3.011604531,Budburstmintomaxcubic_SoS_threshold_NDGI4,-2.085474221,171,168,211,550
90.9,0.729309324,64.69273803,-14.58448287,BudburstSoS_threshold_PPI13,49.58119245,22,265,264,551
71.9,0.418023168,36.02257155,-4.62908151,BudburstmintomaxSoS_threshold_NDGI1,22.17378504,111,205,236,552
19.9,0.167565713,33.09040225,-4.157416412,Budburstmintomaxcubic_SoS_threshold_NDPI1,11.58119245,139,186,228,553
104.9,0.748531515,71.67565283,-15.82333015,BudburstSoS_threshold_NDPI1,57.39600726,17,269,268,554
-10.1,0.189595602,35.11705849,-3.509505605,Budburstmintomaxcubic_SoS_threshold_NDPI4,-20.27065941,136,200,220,556
71.9,0.428595816,34.04690585,-7.11280447,BudburstmintomaxSoS_threshold_PPI2,-1.492881629,110,196,250,556
12.9,0.146337403,32.7577102,-4.44303798,Budburstmintomaxcubic_SoS_threshold_NDPI13,6.840451704,141,184,233,558
-19.1,-0.301016276,35.84224025,-1.365601043,Budburstfilter_cubic_SoS_threshold_NDPI5,-29.863252,196,203,160,559
-16.1,-0.51700396,32.69810313,-1.003783184,Budburstfilterdoublelogistic_SoS_threshold_NDVI5,-25.23362237,234,183,147,564
-19.1,-0.278320705,36.66750039,-1.55689397,Budburstfilterdoublelogistic_SoS_threshold_NDPI5,-31.97436311,193,210,163,566
-17.1,-0.572522003,33.33688203,-0.853152285,Budburstfilterdoublelogistic_SoS_threshold_NDGI5,-22.23362237,242,187,141,570
2.9,-0.010159232,34.72446186,-3.450549182,Budburstdoublelogistic_SoS_threshold_NDPI1,15.24785911,155,199,219,573
99.9,0.437471052,37.52233778,-7.402168461,BudburstmintomaxSoS_threshold_PPI1,15.24785911,106,215,253,574
-33.1,0.366052898,42.97646342,-4.111646942,BudburstSoS_threshold_PPI5,-33.60399274,122,230,226,578
22.9,-0.382946891,37.79361815,-1.466059236,Budburstcubic_SoS_threshold_NDVI13,28.06267393,209,216,162,587
-8.1,-0.148860675,35.7203518,-3.141585081,Budburstmintomaxcubic_SoS_threshold_NDGI5,-16.1595483,174,202,212,588
4.9,-0.319696299,35.42422797,-1.802130379,Budburstcubic_SoS_threshold_PPI3,20.4330443,199,201,189,589
90.9,0.412964033,39.06535086,-9.261127424,BudburstmintomaxSoS_threshold_PPI13,8.358970223,112,221,256,589
11.9,-0.480025321,36.37853674,-1.59826686,Budburstcubic_SoS_threshold_NDGI3,21.4330443,222,208,167,597
-38.1,-0.264767654,38.75945956,-1.79238064,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI5,-34.75214089,191,220,187,598
-4.1,0.469899494,45.51615648,-13.07685674,BudburstSoS_threshold_PPI3,12.87748874,97,240,261,598
-33.1,0.463196962,50.14878248,-7.028569259,BudburstmintomaxSoS_threshold_PPI5,-38.45584459,100,251,249,600
33.9,-0.218027447,40.21377405,-2.122678203,Budburstcubic_SoS_threshold_PPI2,29.58119245,186,225,195,606
-33.1,0.3819116,47.09610052,-5.691161739,BudburstfilterSoS_threshold_PPI5,-35.93732607,116,246,246,608
-5.1,0.018336572,37.47772303,-5.688630517,Budburstmintomaxcubic_SoS_threshold_PPI4,-9.529918666,152,214,245,611
22.9,-0.657332707,36.32083861,-1.136210565,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI1,24.17378504,254,206,152,612
64.9,-0.190288437,43.77001698,-2.385514182,Budburstcubic_SoS_threshold_PPI13,34.69230356,180,233,199,612
22.9,-0.122686659,39.34032563,-3.44765113,Budburstmintomaxcubic_SoS_threshold_NDVI13,23.06267393,172,223,218,613
34.9,-0.279747222,43.85124046,-2.108336252,Budburstcubic_SoS_threshold_NDVI1,36.02563689,194,234,194,622
34.9,-0.080693266,44.83945493,-3.330921152,Budburstmintomaxcubic_SoS_threshold_NDVI1,33.54415541,166,239,217,622
34.9,-0.318654003,42.47682259,-2.16129007,Budburstcubic_SoS_threshold_NDGI2,32.35897022,198,229,196,623
104.9,0.46817584,59.35226392,-15.50703187,BudburstSoS_threshold_NDPI13,36.24785911,98,263,266,627
-11.1,0.223280746,44.82697542,-10.81809324,BudburstSoS_threshold_NDPI2,11.65526652,132,238,259,629
-17.1,-0.046992976,46.06653577,-4.622568264,Budburstmintomaxcubic_SoS_threshold_NDPI5,-31.71510385,158,241,235,634
4.9,-0.020856634,41.89025608,-7.591972994,Budburstmintomaxcubic_SoS_threshold_PPI3,10.61822948,157,228,254,639
11.9,-0.183005775,39.61956345,-4.878288747,Budburstmintomaxcubic_SoS_threshold_NDGI3,15.21082207,179,224,239,642
68.9,-0.192642333,50.25570484,-2.862315289,Budburstcubic_SoS_threshold_PPI1,42.8404517,182,252,209,643
