dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-50.7142857,0.781933883,31.00447612,-3.384445259,Budburstmintomaxdoublelogistic_SoS_threshold_EVI3,-30.16261183,58,88,51,197
-51.7142857,0.750489654,27.79724401,-3.180029989,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI3,-26.4353391,85,68,45,198
-44.7142857,0.634830917,19.72221793,-2.51420192,Budburstfilter_cubic_SoS_threshold_NDVI2,-16.57170274,135,34,32,201
-28.7142857,0.466111777,12.84490651,-1.166190113,BudburstmintomaxSoS_threshold_NDPI1,-6.708066373,190,8,10,208
-49.7142857,0.767445628,30.48746188,-3.267031186,Budburstdoublelogistic_SoS_threshold_EVI3,-29.66261183,75,84,49,208
-19.7142857,0.588435491,14.05431205,-3.244092736,Budburstfilter_cubic_SoS_threshold_NDVI1,4.291933627,152,13,48,213
-44.7142857,0.57446093,20.45566828,-1.643782418,Budburstfilter_cubic_SoS_threshold_EVI2,-19.25352092,159,37,18,214
-33.7142857,0.354463107,13.30779236,-0.474420888,Budburstfilter_cubic_SoS_threshold_NDPI1,-9.162611827,206,9,3,218
-49.7142857,0.7914972,34.79935883,-3.864097751,BudburstmintomaxSoS_threshold_NDPI3,-34.11715728,45,111,62,218
-56.7142857,0.835463432,35.22445397,-5.17998919,Budburstfilterdoublelogistic_SoS_threshold_PPI3,-33.48079365,10,115,95,220
-49.7142857,0.786166337,34.87858046,-3.859290619,BudburstfilterSoS_threshold_NDPI3,-34.20806637,49,113,60,222
-47.7142857,0.678414056,27.71670109,-2.7734297,Budburstfilter_cubic_SoS_threshold_NDPI2,-26.75352092,122,67,37,226
-53.7142857,0.777052957,32.79289629,-3.655001491,Budburstfilterdoublelogistic_SoS_threshold_EVI3,-31.9353391,66,103,58,227
-59.7142857,0.80980176,37.57547969,-4.54715681,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI4,-36.61715728,24,127,78,229
-42.7142857,0.501020925,19.69950721,-1.50287964,Budburstfilter_cubic_SoS_threshold_NDPI13,-18.20806637,182,33,15,230
-49.7142857,0.624393571,25.89575435,-2.818692494,BudburstfilterSoS_threshold_NDPI2,-24.07170274,138,61,38,237
-49.7142857,0.537298243,21.51218437,-2.081685584,BudburstmintomaxSoS_threshold_NDPI13,-19.16261183,175,42,23,240
-49.7142857,0.624393571,25.89575435,-2.818692494,BudburstmintomaxSoS_threshold_NDPI2,-24.07170274,139,62,39,240
-17.7142857,0.451635489,14.02951922,-2.725867388,BudburstfilterSoS_threshold_NDVI1,-2.4353391,193,12,36,241
-53.7142857,0.756994443,32.03813463,-3.868821161,Budburstfilter_cubic_SoS_threshold_NDVI3,-30.70806637,83,97,63,243
-61.7142857,0.817726612,38.27799158,-5.108646887,Budburstfilterdoublelogistic_SoS_threshold_NDGI4,-36.9353391,17,135,94,246
-57.7142857,0.799626282,38.71971422,-4.792916417,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI3,-37.66261183,32,138,83,253
-61.7142857,0.808941703,39.45154177,-4.843432775,Budburstfilterdoublelogistic_SoS_threshold_NDVI4,-38.48079365,25,143,85,253
-51.7142857,0.647119467,29.83805484,-3.216196886,Budburstcubic_SoS_threshold_EVI3,-28.52624819,130,78,46,254
-59.7142857,0.765021073,34.73607344,-4.174016734,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI4,-33.57170274,78,110,66,254
-58.7142857,0.788789934,38.12101212,-4.382072603,Budburstmintomaxdoublelogistic_SoS_threshold_EVI4,-37.38988455,48,134,74,256
-57.7142857,0.782822113,37.72805813,-4.292045226,Budburstdoublelogistic_SoS_threshold_EVI4,-37.02624819,56,131,70,257
-52.7142857,0.621904269,29.23723917,-3.480893026,Budburstdoublelogistic_SoS_threshold_NDVI3,-27.29897546,141,75,52,268
-64.7142857,0.849687783,40.84849979,-5.812432044,Budburstmintomaxdoublelogistic_SoS_threshold_PPI4,-39.38988455,4,153,113,270
-53.7142857,0.716717788,33.22588255,-3.621796154,Budburstfilter_cubic_SoS_threshold_EVI3,-32.34443001,109,105,57,271
-56.7142857,0.770655531,37.6026306,-4.323639464,Budburstfilterdoublelogistic_SoS_threshold_NDPI3,-36.79897546,72,128,72,272
-59.7142857,0.748324507,36.51619568,-4.332430975,Budburstdoublelogistic_SoS_threshold_NDVI4,-35.4353391,87,119,73,279
-60.7142857,0.783461021,39.74282359,-4.63475568,Budburstfilterdoublelogistic_SoS_threshold_EVI4,-38.98079365,54,146,79,279
-32.7142857,0.829505185,29.80568225,-22.00268274,BudburstfilterSoS_threshold_PPI13,5.473751809,12,77,193,282
-28.7142857,0.510904206,18.69527009,-4.437404909,BudburstfilterSoS_threshold_NDVI13,-10.52624819,180,28,76,284
-49.7142857,0.826688777,36.93871987,-7.236256357,BudburstmintomaxSoS_threshold_PPI4,-33.9353391,13,122,151,286
-17.7142857,0.162964112,16.26377249,-2.492592419,BudburstfilterSoS_threshold_EVI1,-4.798975464,241,17,31,289
-17.7142857,0.56598495,18.5912676,-5.33986439,Budburstfilter_cubic_SoS_threshold_NDGI1,9.0646609,161,27,101,289
-2.7142857,0.540427163,19.47797643,-5.008279632,Budburstcubic_SoS_threshold_EVI1,11.20102454,173,29,90,292
