R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
0.636914543,33.82135795,-2.446893051,plantbudfilter_cubic_SoS_threshold_NDPI3,42,84,71,197
0.495870892,27.4853568,-2.331209109,plantbudcubic_SoS_threshold_EVI13,93,45,61,199
0.675182484,36.16002426,-2.468956493,plantbudfilter_cubic_SoS_threshold_EVI4,28,101,72,201
0.492796856,30.2953608,-1.725916341,plantbudfilterdoublelogistic_SoS_threshold_NDVI2,97,67,45,209
0.533652761,27.45105075,-3.167786751,plantbudfilterdoublelogistic_SoS_threshold_NDGI13,81,44,94,219
0.745073795,35.08508194,-3.852889382,plantbuddoublelogistic_SoS_threshold_NDVI4,6,96,117,219
0.744580907,37.45676922,-3.596595429,plantbuddoublelogistic_SoS_threshold_EVI5,8,109,106,223
0.502686308,34.82246122,-1.685302915,plantbudfilterdoublelogistic_SoS_threshold_EVI3,89,95,44,228
0.739462828,38.23628387,-3.580884606,plantbudmintomaxdoublelogistic_SoS_threshold_EVI5,11,114,105,230
0.674319959,28.51046111,-4.742803225,plantbuddoublelogistic_SoS_threshold_EVI2,29,51,150,230
0.74385341,36.61456095,-3.908348118,plantbudmintomaxdoublelogistic_SoS_threshold_NDVI4,9,104,120,233
0.672929426,39.06574141,-2.912800929,plantbudfilter_cubic_SoS_threshold_NDVI4,30,119,86,235
0.641746886,36.06834163,-3.172429999,plantbudfilter_cubic_SoS_threshold_NDGI4,41,100,96,237
0.205041914,23.77694096,-0.309253058,plantbudfilterSoS_threshold_EVI2,203,26,9,238
0.691088502,38.5704591,-3.530577567,plantbudfilter_cubic_SoS_threshold_PPI3,25,116,102,243
0.384082913,26.62463851,-2.438635134,plantbudfilterSoS_threshold_NDPI13,139,38,68,245
0.708246887,34.37448589,-4.362697459,plantbudmintomaxdoublelogistic_SoS_threshold_NDGI4,20,88,137,245
0.411150732,27.74356576,-2.572298885,plantbudfilterSoS_threshold_NDPI2,124,46,78,248
0.643320283,28.975131,-4.929102535,plantbuddoublelogistic_SoS_threshold_EVI13,40,53,155,248
0.612455177,32.71946515,-3.91592201,plantbudcubic_SoS_threshold_EVI4,52,78,121,251
0.535376674,30.30581284,-3.614024383,plantbudfilterdoublelogistic_SoS_threshold_NDGI2,80,68,107,255
0.095056787,23.45613921,-0.245071292,plantbudfilterSoS_threshold_EVI13,230,23,8,261
0.047616156,23.66267473,-0.1048158,plantbudfilterSoS_threshold_EVI1,237,24,6,267
0.313930528,27.22989952,-2.13043444,plantbudmintomaxSoS_threshold_PPI1,170,42,55,267
0.453678768,29.28923996,-3.536734577,plantbudmintomaxcubic_SoS_threshold_EVI2,110,55,103,268
0.114269823,24.50559971,-0.535992219,plantbudmintomaxSoS_threshold_NDVI13,226,28,15,269
0.494101502,37.29689276,-2.393498591,plantbudfilterdoublelogistic_SoS_threshold_NDVI3,95,108,67,270
0.274315736,29.90714956,-0.834657168,plantbudfilterSoS_threshold_EVI3,186,64,23,273
0.479451783,29.50720226,-3.725502586,plantbudmintomaxcubic_SoS_threshold_EVI3,103,58,112,273
0.746222887,40.56766684,-4.410626857,plantbuddoublelogistic_SoS_threshold_NDVI5,2,130,141,273
0.591325989,34.17575386,-4.286169496,plantbudcubic_SoS_threshold_NDVI4,58,86,132,276
0.082738737,25.08186201,-0.533437312,plantbudfilterSoS_threshold_NDVI13,232,33,13,278
0.19658933,29.29426142,-0.73222032,plantbudmintomaxSoS_threshold_EVI3,206,56,19,281
0.501961433,40.75226903,-2.20450773,plantbudfilterdoublelogistic_SoS_threshold_EVI4,90,132,59,281
0.022807724,24.73771113,-0.329879501,plantbudmintomaxSoS_threshold_NDVI1,242,30,10,282
0.668728204,45.09025156,-2.927738412,plantbudfilter_cubic_SoS_threshold_EVI5,35,161,87,283
0.634353868,39.50030319,-3.889020205,plantbudcubic_SoS_threshold_EVI5,43,124,118,285
0.144327522,27.28622913,-0.907458322,plantbudfilterSoS_threshold_NDVI2,220,43,24,287
0.157126173,27.18511423,-1.092177826,plantbudmintomaxSoS_threshold_NDVI2,218,41,31,290
0.367370306,30.23656709,-2.557092482,plantbudmintomaxSoS_threshold_PPI13,150,66,76,292
0.743154611,41.79441032,-4.469222756,plantbudmintomaxdoublelogistic_SoS_threshold_NDVI5,10,140,143,293
0.568631053,33.22651485,-4.658714594,plantbudmintomaxdoublelogistic_SoS_threshold_PPI1,66,81,149,296
0.708796792,39.08576136,-4.974918116,plantbudmintomaxdoublelogistic_SoS_threshold_NDGI5,19,120,157,296
0.01713802,26.0337328,-0.722098482,plantbudmintomaxSoS_threshold_EVI13,244,35,18,297
0.082517118,26.73591712,-0.990602287,plantbudmintomaxSoS_threshold_EVI2,233,39,26,298
0.436261248,35.31783988,-2.866844738,plantbudcubic_SoS_threshold_EVI1,115,98,85,298
0.621343418,43.4293964,-3.575507509,plantbudfilter_cubic_SoS_threshold_NDPI4,46,152,104,302
0.313686661,34.56000529,-1.663993446,plantbudfilterSoS_threshold_NDVI3,171,90,42,303
0.039847927,26.93706085,-0.926836808,plantbudfilterSoS_threshold_NDVI1,239,40,25,304
0.49564412,30.81910496,-4.389578822,plantbudcubic_SoS_threshold_NDVI3,94,72,138,304
0.232622189,29.39891868,-2.086510988,plantbudfilterSoS_threshold_NDPI1,196,57,53,306
