物种名	内容
盐蒿	"138.盐蒿（中国高等植物图鉴）差不嘎蒿（东北植物检索表），褐沙蒿（内蒙古植物
志），沙蒿（东北及内蒙古俗称），“沙把嘎”、“沙漠嘎”、“呼伦一沙里尔日”（蒙语名），“普勒罕达”（蒙药名）图版27：1-5
    Artemisia halodendron Turcz. ex Bess. in Bull. Soc. Nat. Mosc. 8: 17. 1835 et in Mem. Acad. Sci. Petersb. 4: 459. 1845; DC. Prodr. s: 94. 1837; Ledeb. Fl. Ross. 2 (2): 560. 1844一1846: Turcz. Fl. Baic. ——Dahur. 2: 48. 1845; Maxim. in Bull. Acad. Sci. Petersb. 8: 527. 1872; Komar. Fl. Mansh. 3: 658. 1907; Hand. -Mazz. in Not. Bot. Gart. u. Mus. Berl. 13: 632. 1937; Sato, Ill. Manch. Mong. Trees, 390, 
fig. 300. 1943;东北植物检索表390, 图版135, 图6. 1959; Poljak . Фл. СССР 26: 539. 1961; S. Y. Hu in Quart. Journ. Taiwan Mus. 18 (1-2): 135. 1965; Noda, Fl. N.-E. Prov. (Manch.) China 1213. 1971; 中国高等植物图鉴4: 528, 图6469. 1975. ——A. intramongolica H. C. Fu in Fl. Intramong. 6: 125, Tab.44 et in addenda 327. 1983, 
incl. var. microphylla H. C. Fu. ——Oligosporus halodendron (Turcz. ex Bess.) Poljak. В Мат. Фл. Раст. Каэах. 11: 168. 1961; Czerep. Add. Corr. Fl. URSS (1-30) , 89. 1973.
    小灌木。主根、侧根均木质，主根粗，长，侧根多；根状茎粗大，木质，直径1-3厘米，
具多数木质化的营养枝，枝上密生多数营养叶。茎直立或斜向上长，多数或少数，稀单生，
高50-80厘米，纵棱明显，上部红褐色，下部茶褐色，外皮常剥落；自基部开始分枝，枝多
而长，常与营养枝共组成密丛，下部枝多匍地生长，具短枝，短枝上叶常密集成丛生状；茎、
枝初时被灰黄色绢质短柔毛，后渐脱落。叶质稍厚，初时微有灰白色短柔毛，后无毛，干时质硬；茎下部叶与营养枝叶宽卵形或近圆形，长、宽3-6厘米，二回羽状全裂，每侧有裂片
（2-）3-4枚，基部裂片最长，再次羽状全裂，每侧具小裂片1-2枚，小裂片狭线形，长1-1.5(-2)厘米，宽0.5-1毫米，先端具硬尖头，边缘通常反卷，叶柄长1.5-4厘米，基部有小型狭线形的假托叶；中部叶宽卵形或近圆形，一至二回羽状全裂，小裂片狭线形，近无柄，基部有小型分裂的假托叶；上部叶与苞片叶3-5全裂或不分裂，无柄。头状花序多数，卵球形，直径（2.5-) 3-4毫米，直立，具短梗或近无梗，基部有小苞叶，在分枝上端排成复总状花序，并在茎上组成大型、开展的圆锥花序；总苞片3-4层，覆瓦状排列，外层总苞片小，卵形，背面无毛，绿色，边缘膜质，中层总苞片椭圆形，背面中部绿色，无毛，边缘宽膜质，内层总苞片长椭圆形或长圆形，半膜质；雌花4-8朵，花冠狭圆锥状或狭管状，花柱线形，伸出花冠外，先端2叉，叉端尖；两性花8-15朵，不孕育，花冠管状，花药线形，先端附属物尖，长三角形，基部圆钝，花柱短，先端近漏斗状，2裂，不叉开，退化子房小。瘦果长卵形或倒卵状椭圆形，果壁上有细纵纹并含胶质物。花果期7-10月。
     产黑龙江（西部）、吉林（西部）、辽宁（西部）、内蒙古、河北（北部）、山西（北部）、陕西（北部）、宁夏、甘肃（北部）及新疆（东部）；生于中、低侮拔地区的流动、半流动或固定的沙丘上，也见于荒漠草原、草原、森林草原、砾质坡地等，在荒漠的局部地区构成植物群落的优势种。蒙古、苏联（西伯利亚东部）也有。模式标本采自苏联赤塔省南部与蒙古交界处。
    本种植株常有变异，尤其幼株与老株变化明显，幼株根、根状茎稍粗，木质，叶的小裂
片略宽；老株根、根状茎粗大，木质，叶的小裂片细长而狭窄。《内蒙古植物志》（6)记载的褐沙蒿A. intramongolica H. C. Fu实是本种一变异的植株，应予以归并。
    主根木质，深，侧根多，茎分枝多而长，植株耐沙压埋，繁殖力强，遇湿沙易生出不定
根。果壁有胶质物，遇水吸湿膨胀能胶结沙粒及保水供种子萌发。固沙性能强，为良好的固沙植物之一。嫩枝及叶入药，有止咳、镇喘、祛痰、消炎、解表之效，蒙医用于治疗慢性气管炎及支气管哮喘等。"
籽蒿	"2.大籽蒿（东北植物检索表）山艾（山西），白蒿（河北、甘肃），大白蒿、臭蒿子（甘肃），大头蒿、苦蒿（新疆），“额尔木”、“埃勒姆一察乌尔”（蒙语名），“肯甲”（藏语名）图版1：1-7 
     Artemisia sieversiana Ehrhart ex Willd. Sp. Pl. 3: 1845. 1800; Ledeb. Fl. Alt. 4: 61 1833 et Fl. Ross. 2 (2): 599, 1844-1846: DC. Prodr. 6: 126. 1837; Maxim. Prim. Fl. Amur. 162. 1859 et in Bull. Acad. Sci. Petersb. 8: 537. 1872; Hook. f. Fl. Brit. Ind. 3: 329 1881; Franch. Pl. David. 1: 172. 1884; Forb. et Hemsl. in Journ. Linn. Soc. Bot. 23: 445. 1888; Komar. Fl. Mansh. 3: 679. 1907; Nakai, Fl. Kor. 2: 29. 1911: LM. Fl. Kouy-cheou 84. 1914 et Cat. Pl. Yunnan 38. 1915, incl. var. blinii Levl.; Pamp. in Nuov. Giorn. Bot. Ital. n.s. 34: 700. 1927, in Act. Hort. Gothob. 6: 77. 1930 et in Lav. Inst. Bot. Univ. Cagl. 40: 570. 194010 incl. f. genuina Pamp., excl. syn., f. nana Pamp. et f. microcephala Pamp. et var. grandis Pamp. Komar. et Alis. Key Pl. Far East. Reg. USSR 2: 1032. 1932; Ling in Contr. Inst. Bot. Nat. Acad. Peip. 2(10): 506. 1934, incl. f. genuina Pamp.; Chen in Bull. Fan Mem. Biol. 5: 64. 1934, incl. f. genuina Pamp.; Hand.-Mazz. Symb. Sin. 7: 1116. 1936, incl. var. grandis Pamp. et f. genuina Pamp.; Kitag. Lineam. Fl. Mansh. 433. 1939; Kitam. in Mem. Coll. Sci. Kyoto Univ. ser. B. 15 (3): 434. 1940, in Trans. Sapp. Nat. Hist. Soc. 16: 62 1940, in Kihara, Fau. Fl. Nep. Himal. 1: 246. 952一195 3, Fl. Pl. Pakistan 143. 1964 et in Act. Phvtotax. Geobot. 23r (1-2): 12. 1968; 东北植物检索表394,图版136. 图5. 1959; Poljak. Фл. СССР 26: 517. 1961; S. Y. Hu in Quart. Journ. Taiwan Mus. 18 (3-4): 259. 1965, incl. var. grandis Pamp. et var. blinii Levl.; Filat. Фл. Каэах. 9: 103, Tab. 11. fig. 3. 1966; Noda, Fl. N.-E. Prov. (Manch.) China 1222. 1971; Nasir et Ali, Fl. W. Pakistan 719. 19 72; 中国高等植物图鉴4: 522,图6458. 1975, incl. f. grandis Pamp.; Lauen. in Not. Bot. Gard. Edinb. 34 (3): 356. 1976: Tutin et al. Fl. Europ. 4: 180. 1976; 西藏植物志4: 747,图321. 1985. ——A. moxa DC. l. c. 6: 121. 1838.; Maxim. in Bull. Acad. Sci. Petersb. 8: 539. 1872; Forb. et Hemsl. l. c. 23: 444. 1888; S.Y. Hu, 1. c. 18 (3-4): 246. 1965. ——A. koreana Nakai in Bot. Mag. Tokyo 23: 186. 1909, Fl. Kor. 2: 28. 1911 et Fl. Sylv. Kor. 14: 100. 1923; 东北植物检索表3969图版136. 图7.1959. ——A. chrysolepis Kitag. in Rep. First Sci. Exped. Manch. 4 (2): 35, fig. 7. 1935 et Lineam. Fl. Mansh. 424. 1939; 东北植物检索表395. 1959. ——A. sparsa Kitag. l. c. 4 (2): 37, fig. 8. 1935. ——Absinthium sieversianum Bess. in Bull. Soc. Nat. Mosc. 1 (8): 259. 1829. 
     一、二年生草本。主根单一，垂直，狭纺锤形。茎单生，直立，高50-150厘米，细，有时略粗，稀下部稍木质化，基部直径可达2厘米，纵棱明显，分枝多；茎、枝被灰白色微柔毛。下部与中部叶宽卵形或宽卵圆形，两面被微柔毛，长4-8(-13）厘米，宽3-6(-15)厘米，二至三回羽状全裂，稀为深裂，每侧有裂片2-3枚，裂片常再成不规则的羽状全裂或深裂，基部侧裂片常有第三次分裂，小裂片线形或线状披针形，长2-10毫米，宽1-1.5(-2）毫米，有时小裂片边缘有缺齿，先端钝或渐尖，叶柄长（1-）2-4厘米，基部有小型羽状分裂的假托叶；上部叶及苞片叶羽状全裂或不分裂，而为椭圆状披针形或披针形，无柄。头状花序大，多数，半球形或近球形，直径（3-）4-6毫米，具短梗，稀近无梗，基部常有线形的小苞叶，在分枝上排成总状花序或复总状花序，而在茎上组成开展或略狭窄的圆锥花序；总苞片3-4层，近等长，外层、中层总苞片长卵形或椭圆形，背面被灰白色微柔毛或近无毛，中肋绿色，边缘狭膜质，内层长椭圆形，膜质；花序托凸起，半球形，有白色托毛；雌花2(-3)层，20-30朵，花冠狭圆锥状，檐部具（2-）3-4裂齿，花柱线形，略伸出花冠外，先端2叉，叉端钝尖；两性花多层，80-120朵，花冠管状，花药披针形或线状披针形，上端附属物尖，长三角形，基部有短尖头，花柱与花冠等长，先端叉开，叉端截形，有睫毛。瘦果长圆形。花果期6-10月。  
     广布于温带或亚热带高山地区。我国自黑龙江、吉林、辽宁、内蒙古、河北、山西、陕西、宁夏、甘肃、青海、新疆至四川、贵州、云南及西藏等省区有分布，山东、江苏等省有栽培；东北、华北、西北省区分布在海拔500-2 200米地区，西南省区最高分布到海拔4 200
米地区，多生于路旁、荒地、河漫滩、草原、森林草原、干山坡或林缘等，局部地区成片生长，为植物群落的建群种或优势种。朝鲜（北部）、日本（北部）、蒙古、阿富汗、巴基斯坦（北部）、印度（北部）、克什米尔地区及苏联（中亚、西伯利亚及欧洲部分）等都有，最高分布到海拔4 5010米地区。模式标本采自苏联西伯利亚。
    本种植株大小，叶形状，头状花序大小，排列方式等变异大。有的学者曾分为若干变种或变型。据作者在西北、华北、东北及西南考察并结合标本研究，发现这些变异乃是生长在不同生态环境中所产生的体态变异，甚至在同一小区域里也常出现其变异，如在水湿条件好的环境里，其植株高可达1.5米，植株各部分近无毛，叶长可达6-13厘米，宽4-15厘米，其小裂片宽可达3-4毫米，头状花序在茎上排成开展的圆锥花序；而在干燥的环境里生长的植株通常矮小，高20-30厘米，植株各部分被毛多，叶小，长4-5厘米，宽3-4厘米，其小裂片亦狭窄，宽仅1-2毫米，头状花序小，在茎上排成狭窄的圆锥花序。等，这些特征在小区域内随水湿条件呈过度性变化，同样能观察到其特征也有过度性的变化。所以前人建立的变种与变型均应予以归并。
    含挥发油，并含内醋类及薁类 (azulens) 物质。民间入药，有消炎、清热、止血之效；
  高原地区用于治疗太阳紫外线辐射引起的灼伤。牧区作牲畜饲料。"
驼绒藜	"10．驼绒藜属*——Ceratoides (Tourn.) Gagnebin
    Gagnebin in Acta Helvetica 2: 59. 1755.——Eurotia Adans. in Fam. Pl. 2: 260. 1763. ——Krascheninnikovia Gueldenst. in Novi Comm. Acad. Sci. Petrop. 16: 548. 1772. 
    多年生植物，灌木，直立或呈垫状，全体密被星状毛，后期毛部分脱落。叶互生，单生或成束，具柄，柄平直或呈舟状；叶片扁平，条形、条状披针形至卵圆形，先端钝或圆形，基部楔形、圆形或心脏形，全缘；叶脉明显或不显，1脉或羽状。花单性，同株。雄花无柄，数朵成簇在枝和小枝顶部构成念珠状或头状花序，无苞片和小苞片; 花被片4, 膜质，基部稍联合，裂片卵形或椭圆形，背部被星状毛；雄蕊4，与花被对生，花药矩圆形，2室，纵裂，花丝条形，伸出被外；无花盘和子房。雌花无柄，1-2朵腋生，具苞片，无花被；小苞片2，合生成雌花管，侧扁，椭圆形或倒卵形，上部分裂成2个角状或兔耳状裂片，果时管外具四束长毛或短毛（实为星状毛，仅其中一支射毛较长）；子房无柄，椭圆形，密被具一支长射毛的星状毛，花柱短，柱头2，密被毛状突起，伸出管外。果实直生，内藏，扁平，椭圆形或狭倒卵形，上部被毛，果皮膜质，不与种皮相联。种子直生，与果同形，种皮膜质；胚马蹄形，胚根向下。
    本属6-7种，除2种产于北美洲西部外余者皆分布于欧亚大陆，其中以亚洲中部最多。我国产4种和1变种，主要分布于东北、华北、西北和青藏高原。
    我国过去称本属为优若藜属Eurotia Adans,由于此名称为晚出名而被废弃，故采用现用名称。"
猫头刺	"组1. 猫头刺组 Sect. Leucotriche Bunge in Mem. Acad. Sci. St. Petersb. ser. 7. 22 (1): 134. 1874; E. Pet. -Stib. in Acta Hort. Gothob. 12: 82. 1937.
     小灌木，分枝多，常成垫状形的灌丛，被贴伏绢状疏柔毛。偶数羽状复叶；托叶彼此合生，与叶柄贴生；叶柄于小叶落时硬化成细刺；小叶4-6，先端具刺。总状花序具少花，总花梗腋生，缩短；花萼于结果前膨大，结果后为荚果所撕裂。荚果硬革质，略呈坚果状，不完全2室，开裂。
    组名模式：猫头刺 Oxytropis aciphylla Ledeb.
    本组仅1种及1变种，分布于我国西北部的荒漠草原地区。为干燥沙质荒漠的建群种。俄罗斯西西伯利亚、蒙古南部也有分布。"
白刺	"1.白刺属Nitraria L.
            L. Sp. Pl. 1022. 1753. nom. et Syst. Nat. ed. 10. 2: 1044. 1759.
        灌木，高0.5-2米。枝先端常成硬针刺。单叶质厚、肉质、全缘或顶端齿裂；托叶小。顶生或腋生聚伞花序，蝎尾状；花小，白色或黄绿色；萼片5，花瓣5；雄蕊10-15；子房上位，3室，柱头卵形。浆果状核果，外果皮薄，中果皮肉质多浆，内果皮骨质。
        本属模式种：小果白刺 Nitraria sibirica Pall.
        本属11种，分布于亚洲、欧洲、非洲和澳大利亚；我国有6种和1变种。主要分布于西北各省，生于盐渍化沙地。常为建群种，特别在沙区为优良固沙植物。
        本属耐干旱、抗风沙。其嫩枝和表皮细胞外壁角质层较厚，为2.1-2.5微米。气孔下陷，叶肉细胞栅栏组织发达。叶绿体含量大，有利于积累养分，富含晶细胞和粘液细胞，有利于改变细胞渗透压、提高贮水力。维管组织比较小，而皮层较宽，这对保护维管组织免受旱害有利。有发达的纤维组织，有利于抗风蚀和抗沙害。含大量灰分和盐分并积累丰富的Al. Mg. Fe. Ti. Mn等元素。据孢粉分析，萌发孔为三孔沟，沟长达两极，个体大而长，极轴与赤道轴之比大于1.5；花粉外壁厚，厚3.0-5.2微米，形近橄榄状或长球状，两极浑圆、赤道部向外鼓。表现出年轻种的特征。"
木本猪毛菜	"5.木本猪毛菜 图版36: 10-11
     Salsola arbuscula Pall. Reise 1: 488. t. G. f. 1. 1771; Iljin in Fl. URSS 6: 237. t. 11. f. 9. 1936; Полояк. in Фл. Казахст. 3: 266. t. 27. f. 6. 1960; Grubov, Pl. Asiae Centr. 2: 89. 1966;中国高等植物图鉴1: 594. f. 1188. 1972. 
    小灌木，高40-100厘米，多分枝; 枝条开展，老枝淡灰褐色，有纵裂纹，小枝平滑，乳白色。叶互生，老枝上的叶簇生于短枝的顶部，叶片半圆柱形，长1-3厘米，宽1-2毫米，淡绿色，无毛，顶端钝或尖，基部扩展而隆起，乳白色，扩展处的上部缢缩成柄状，叶片自缢缩处脱落，枝条上留有明显的叶基残痕。花序穗状；苞片比小苞片长；小苞片卵形，顶端尖，基部的边缘为膜质，比花被长或与花被等长; 花被片矩圆形，顶端有小凸尖，背部有1条明显的中脉，果时自背面中下部生翅；翅3个为半圆形，膜质，有多数细而明显的脉，2个较狭窄，花被果时（包括翅）直径为8-12毫米；花被片在翅以上部分，向中央聚集，包覆果实，上部膜质，稍反折，成莲座状；花药附属物狭披针形，顶端急尖；柱头钻状，长为花柱的2-4倍。种子横生。花期7-8月，果期9-10月。
     产新疆、宁夏、内蒙古、甘肃西部。生于山麓、砾质荒漠。伊朗、蒙古、苏联亦有分布。"
霸王	"4. 霸王属 Sarcozygium Bunge
              Bunge in Linnaea, 17: 7. 1843; Engl. Pflanzefam. 19, a: 1931.——Zygophyllum. L. Subgen. Euzygophyllum Popov in Bull. Univ. Asie Centr. 12: 105 1926.——Zygophyllum L. Subgen. Sarcozygium (Bunge) Boriss. in Fl. URSS 14: 184. 1949.
        灌木，枝弯曲，先端具刺尖；叶在老枝上簇生，幼枝上1对对生；花1-2朵生于叶腋，萼片4、花瓣4；蒴果具3翅、翅纸质。分布于亚洲中部和中亚地区。我国有2种。
        本属模式种：霸王Sarcozygium xanthoxylon Bunge."
珍珠	"v. 珍珠茅族——Sclerieae Dumort. 
    Dumort. Anal. Famil.  (1829 ) 64——Scleriae C. B. Clarke in Kew Bull. Add. Ser. VIII (1906 ) 131. 
    多年生草本，少有一年生，多数具匍匐根状茎。叶稈生，或有时兼基生。多数为圆锥花序，少有穗状花序或间断的穗状花序，极少为腋生的小头状花序；苞片通常叶状，小苞片刚毛状或鳞片状；小穗单性或两性，通常具十多片鳞片（少有2-3片）和数单性花；鳞片具花或不具花；小穗两性者下部具1朵雌花，其上具1至数朵雄花；下位刚毛或下位鳞片缺如。小坚果具柄，骨质，一般具下位盘，少数下位盘不发育。"
狭叶锦鸡儿	"47. 狭叶锦鸡儿（中国主要植物图说?豆科）皮溜刺（宁夏中卫），母猪刺（陕西榆林）
图版14: 8-14
    Caragana stenophylla Pojark. in Kom. Fl. USSR 11: 397, 344. 1955; 中国主要植物图说?豆科331. 1955; 中国高等植物图鉴2: 406. 图2542. 1972; 内蒙古植物志3: 168. 1972. ——C. pygmaea (Linn.) DC. var. pallasiana Kom. in Acta Hort. Petrop. 29: 241. 1909; 中国沙漠植物志2: 212. 图75 (1-6). 1987.
    矮灌木，高30-80厘米。树皮灰绿色，黄褐色或深褐色；小枝细长，具条棱，嫩时被短柔毛。假掌状复叶有4片小叶；托叶在长枝者硬化成针刺，刺长2-3毫米；长枝上叶柄硬化成针刺，宿存，长4-7毫米，直伸或向下弯，短枝上叶无柄，簇生；小叶线状披针形或线形，长4-11毫米，宽1-2毫米，两面绿色或灰绿色，常由中脉向上折叠。花梗单生，长5-10毫米，关节在中部稍下；花萼钟状管形，长4-6毫米，宽约3毫米，无毛或疏被毛，萼齿三角形，长约1毫米，具短尖头；花冠黄色，旗瓣圆形或宽倒卵形，长14-17 (20) 毫米，中部常带橙褐色，瓣柄短宽，翼瓣上部较宽，瓣柄长约为瓣片的1/2，耳长圆形，龙骨瓣的瓣柄较瓣片长1/2，耳短钝；子房无毛。荚果圆筒形，长2-2.5厘米，宽2-3毫米。花期4-6月，果期7-8月。
    产东北、内蒙古、河北、山西、陕西、宁夏、甘肃西北部、新疆东部及北部。生于沙地、黄土丘陵、低山阳坡。原苏联和蒙古也有分布。模式标本采自黑龙江呼伦池附近。
    性耐干旱，为良好的固沙和水土保持植物。"
荒漠锦鸡儿	"25. 荒漠锦鸡儿（内蒙古植物志）洛氏锦鸡儿（中国主要植物图说?豆科），猫耳刺（宁夏），枯木要里（藏）图版9：13-19
    Caragana roborovskyi Kom. in Acta Hort. Petrop. 29: 280.t. 8 (B). 1909; 中国主要植物图说?豆科340. 图332. 1955; 内蒙古植物志2: 172. 图版87. 1977; 中国沙漠植物志2: 221. 1987.
    灌木，高0.3-1米，直立或外倾，由基部多分枝。老枝黄褐色，被深灰色剥裂皮；嫩枝密被白色柔毛。羽状复叶有3-6对小叶；托叶膜质，被柔毛，先端具刺尖；叶轴宿存，全部硬化成针刺，长1-2.5厘米，密被柔毛；小叶宽倒卵形或长圆形，长4-10毫米，宽3-5毫米，先端圆或锐尖，具刺尖，基部楔形，密被白色丝质柔毛。花梗单生，长约4毫米，关节在中部到基部，密被柔毛；花萼管状，长11-12毫米，宽4-5毫米，密被白色长柔毛，萼齿披针形，长约4毫米；花冠黄色，旗瓣有时带紫色，倒卵圆形，长23-27毫米，宽12-13毫米，基部渐狭成瓣柄，翼瓣片披针形，瓣柄长为瓣片的1/2，耳线形，较瓣柄略短，龙骨瓣先端尖，瓣柄与瓣片近相等，耳圆钝，小；子房被密毛。荚果圆筒状，长2.5-3厘米，被白色长柔毛，先端具尖头，花萼常宿存。花期5月，果期6-7月。
    产内蒙古西部、宁夏、甘肃、青海东部、新疆。生于干山坡、山沟、黄土丘陵、沙地。天山也有分布。模式标本采自青海祁连山。"
