dif,R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
7,0.287982823,26.48105687,-6.898876144,budmintomaxdoublelogistic_SoS_threshold_NDVI1,107,29,68,204
-41,0.356410276,31.27368753,-9.214739539,budfilterSoS_threshold_NDPI2,52,54,101,207
1,0.232536418,26.83548819,-5.469530109,budfiltercubic_SoS_threshold_NDGI2,136,31,45,212
-16.5,0.20318879,24.15258861,-5.843289713,budcubic_SoS_threshold_NDPI2,148,21,50,219
-5,0.361578667,37.13961374,-8.813532559,budmintomaxdoublelogistic_SoS_threshold_EVI3,42,85,92,219
-41,0.309627147,28.71615927,-8.912150146,budfilterSoS_threshold_NDPI13,82,43,94,219
-41,0.246791945,28.81271938,-5.529732508,budmintomaxSoS_threshold_NDVI2,130,44,47,221
11,0.249618456,26.9178941,-7.850309585,budmintomaxdoublelogistic_SoS_threshold_NDGI1,128,32,82,242
13,0.356609888,31.31399389,-12.67079159,budmintomaxcubic_SoS_threshold_EVI2,51,56,136,243
21,0.415658841,34.27167783,-13.69208924,budmintomaxcubic_SoS_threshold_EVI13,26,70,147,243
2,0.287270809,30.83568463,-8.129508129,budmintomaxdoublelogistic_SoS_threshold_NDVI13,108,50,86,244
-12,0.414060513,44.41928127,-8.050114102,budfiltercubic_SoS_threshold_EVI4,27,137,84,248
-24,0.365900274,32.66617855,-13.90861039,budmintomaxSoS_threshold_NDPI1,36,62,150,248
6,0.103616284,25.29889037,-4.860851811,budfiltercubic_SoS_threshold_PPI1,197,25,30,252
-21,0.290852936,32.43066744,-8.570452548,budfilterSoS_threshold_PPI1,101,61,90,252
-44,0.382086253,45.54064262,-7.664471131,budfilterSoS_threshold_NDGI4,32,144,78,254
-41,0.321527286,31.0528908,-12.1694768,budfilterSoS_threshold_PPI13,76,53,129,258
-54,0.493412152,54.35907826,-5.810333109,budmintomaxSoS_threshold_EVI5,13,198,49,260
-43,0.294181214,34.99579619,-8.763263384,budmintomaxSoS_threshold_NDGI3,97,73,91,261
-4,0.295647926,35.79346128,-8.066890081,budfiltercubic_SoS_threshold_NDGI3,96,81,85,262
-54,0.501772433,55.27081089,-5.924901071,budfilterSoS_threshold_EVI5,10,202,51,263
-54,0.487513478,54.0431597,-6.003108873,budSoS_threshold_EVI5,14,195,54,263
-44,0.377886372,50.45309621,-6.315905019,budfilterSoS_threshold_NDVI4,33,174,57,264
-10,0.364990026,42.50874598,-9.961938019,budmintomaxdoublelogistic_SoS_threshold_EVI4,37,124,108,269
-27,0.341538851,42.05978257,-8.252079451,budfiltercubic_SoS_threshold_NDPI3,64,120,88,272
-10,0.358850892,41.75727964,-10.17014813,buddoublelogistic_SoS_threshold_EVI4,48,116,110,274
6,0.252361762,30.3080582,-9.199498772,budmintomaxdoublelogistic_SoS_threshold_NDGI13,127,48,100,275
-41,0.356687385,34.01099257,-14.8353226,budmintomaxSoS_threshold_NDPI13,50,67,158,275
-2,0.289062158,34.60858447,-9.119431089,budmintomaxdoublelogistic_SoS_threshold_NDVI2,106,71,99,276
-28.5,0.164437851,29.99639642,-6.623590993,budcubic_SoS_threshold_NDPI3,170,46,63,279
33,0.360808521,39.47608232,-12.41945638,budmintomaxcubic_SoS_threshold_EVI1,45,104,133,282
-37.5,0.197700897,37.18513982,-5.419616758,budcubic_SoS_threshold_NDPI4,154,86,44,284
14,0.364235105,35.10652873,-16.13706622,budmintomaxcubic_SoS_threshold_NDVI2,39,75,170,284
-41,-0.372857655,24.50734587,-2.438304592,budfilterdoublelogistic_SoS_threshold_EVI1,265,22,2,289
-41,0.304175061,35.09051311,-12.26509264,budfilterSoS_threshold_PPI2,86,74,130,290
2,0.351254536,35.48697279,-14.62830264,budmintomaxcubic_SoS_threshold_EVI3,56,78,156,290
0.5,0.226222608,30.62478985,-9.520400859,budcubic_SoS_threshold_NDPI13,138,49,104,291
9.5,0.241574861,37.86243182,-7.351758633,budcubic_SoS_threshold_EVI1,133,89,71,293
-5,0.315838633,38.27053953,-11.80534541,buddoublelogistic_SoS_threshold_EVI3,79,93,124,296
-41,0.305212846,34.97923252,-12.88363864,budmintomaxSoS_threshold_NDPI2,85,72,139,296
-40,-0.358214564,26.0244388,-3.435965229,budfilterdoublelogistic_SoS_threshold_NDVI1,259,28,10,297
-42,0.248326598,38.97283666,-7.552404911,budmintomaxSoS_threshold_NDVI3,129,97,76,302
2,0.254109269,33.4628226,-10.2393915,budmintomaxdoublelogistic_SoS_threshold_NDGI2,126,65,111,302
-41,0.334347942,41.56918592,-11.49904788,budfilterSoS_threshold_NDPI3,67,114,122,303
-29,0.419902023,53.24123603,-8.460506003,budfiltercubic_SoS_threshold_EVI5,24,191,89,304
-14,0.352444965,47.67409588,-9.089817131,budfiltercubic_SoS_threshold_NDVI4,55,155,98,308
-14,0.364399978,47.59031115,-11.00570193,budmintomaxdoublelogistic_SoS_threshold_EVI5,38,154,118,310
-49,-0.376830341,28.5782758,-3.19957816,budfilterdoublelogistic_SoS_threshold_EVI13,266,41,9,316
-14,0.360374397,46.90641028,-11.10012128,buddoublelogistic_SoS_threshold_EVI5,47,152,119,318
-44,0.293136243,49.22232022,-6.396010997,budmintomaxSoS_threshold_NDVI4,98,166,59,323
2,0.091586982,31.29908235,-6.797154597,budfiltercubic_SoS_threshold_PPI13,203,55,66,324
-8,0.290622563,41.01694116,-10.68562661,budmintomaxdoublelogistic_SoS_threshold_NDVI3,102,112,114,328
-35,-0.299294945,27.71721089,-5.233474555,budfilterdoublelogistic_SoS_threshold_NDGI1,252,38,40,330
-48,-0.360884438,30.14863438,-4.246497796,budfilterdoublelogistic_SoS_threshold_NDVI13,260,47,24,331
-24,0.050981924,28.28358856,-7.762482694,budfilterSoS_threshold_NDPI1,219,39,80,338
-45.5,0.198940379,46.15301759,-5.17628657,budcubic_SoS_threshold_NDPI5,153,147,39,339
-21,0.347559735,38.06323167,-18.91646862,budSoS_threshold_EVI13,57,90,193,340
-9,0.299568653,44.68523699,-10.11346241,budfiltercubic_SoS_threshold_NDGI4,93,139,109,341
-41,0.258814014,34.14384273,-13.9174549,budSoS_threshold_EVI2,122,69,151,342
-8,0.259108002,39.32637063,-11.21388446,buddoublelogistic_SoS_threshold_NDVI3,121,103,120,344
-55,-0.382218167,32.27330032,-3.856557938,budfilterdoublelogistic_SoS_threshold_EVI2,267,60,18,345
-3,0.257650026,39.00868903,-11.85778188,budmintomaxdoublelogistic_SoS_threshold_NDGI3,124,98,125,347
-5,0.355812437,41.9851944,-16.96634703,budmintomaxcubic_SoS_threshold_EVI4,53,118,176,347
-44,-0.294439052,30.8554288,-6.077030426,budfilterdoublelogistic_SoS_threshold_NDGI13,250,51,55,356
-54,-0.362855989,33.93361057,-4.869527814,budfilterdoublelogistic_SoS_threshold_NDVI2,261,66,31,358
24,0.301654564,39.05438545,-16.07781913,budmintomaxcubic_SoS_threshold_NDVI13,89,100,169,358
-70,0.332631696,61.0430267,-7.088623849,budfilterSoS_threshold_NDVI5,68,221,70,359
2,0.311045001,38.39329045,-17.75737734,budmintomaxcubic_SoS_threshold_NDVI3,81,95,183,359
-31,0.354073538,56.98915745,-9.222638907,budfiltercubic_SoS_threshold_NDVI5,54,207,102,363
1,0.255232719,36.39916066,-14.53770268,buddoublelogistic_SoS_threshold_EVI2,125,83,155,363
8.5,0.302696601,42.59641578,-14.16257315,budcubic_SoS_threshold_NDPI1,87,125,153,365
-11,0.36364677,48.22560786,-15.93321737,budmintomaxcubic_SoS_threshold_EVI5,40,158,167,365
-21,0.03493308,31.38773196,-8.158932596,budmintomaxSoS_threshold_PPI1,225,57,87,369
4,0.240311819,35.2382605,-14.97484535,buddoublelogistic_SoS_threshold_EVI13,134,76,160,370
-12,0.291670505,46.52127239,-11.9992,budmintomaxdoublelogistic_SoS_threshold_NDVI4,100,150,128,378
-70,0.273113031,57.42731058,-6.390792522,budSoS_threshold_NDVI5,114,208,58,380
-12,0.27872426,45.10234034,-11.94089546,buddoublelogistic_SoS_threshold_NDVI4,112,142,127,381
-50,-0.297025371,34.01166587,-6.792614818,budfilterdoublelogistic_SoS_threshold_NDGI2,251,68,65,384
-1,0.099857785,38.12775841,-8.836767628,budfiltercubic_SoS_threshold_PPI2,200,91,93,384
-4,0.320915,43.44412151,-18.11882981,budmintomaxcubic_SoS_threshold_NDVI4,77,129,186,392
35,0.270348101,43.8288655,-13.71103921,budmintomaxcubic_SoS_threshold_NDVI1,115,131,148,394
-64,-0.38758189,38.53196509,-4.874524455,budfilterdoublelogistic_SoS_threshold_EVI3,268,96,32,396
-41,0.227852702,43.31623112,-12.33902446,budmintomaxSoS_threshold_NDPI3,137,128,131,396
-41,0.050062938,36.30945871,-9.07506379,budmintomaxSoS_threshold_PPI13,220,82,97,399
-70,0.260599409,59.705021,-6.881030372,budmintomaxSoS_threshold_NDVI5,119,215,67,401
-38.5,0.111160734,39.65850935,-9.733571528,budcubic_SoS_threshold_NDGI4,189,106,106,401
-8,0.258294355,44.07933543,-13.34094311,budmintomaxdoublelogistic_SoS_threshold_NDGI4,123,134,144,401
-50,0.330568492,53.40281743,-12.85173169,budfilterSoS_threshold_NDPI4,71,193,138,402
-44,0.245466849,49.4592867,-9.533559061,budSoS_threshold_NDVI4,131,167,105,403
